Percent,Percent_Rating,Percent_Statement,PercentR,Percent_RatingR
4,9,I am 99% sure that,-4,-4
4,6,I am 99% sure that,-4,-1
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,6,I am 99% sure that,-4,-1
4,8,I am 99% sure that,-4,-3
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,9,I am 99% sure that,-4,-4
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,6,I am 99% sure that,-4,-1
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,7,I am 99% sure that,-4,-2
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,9,I am 99% sure that,-4,-4
4,8,I am 99% sure that,-4,-3
4,7,I am 99% sure that,-4,-2
4,9,I am 99% sure that,-4,-4
4,6,I am 99% sure that,-4,-1
