term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,measure
overall,summary,-0.16699313872963564,0.012122468958283863,-13.775505575992524,3.578689415345014e-43,-0.1907527412915768,-0.1432335361676945,effectiveness
overall,summary,-0.06659792153848647,0.008891147515579647,-7.490362905551759,6.868343535944292e-14,-0.08402425045025536,-0.04917159262671758,warmth
overall,summary,-0.1558603693800755,0.010168414059170187,-15.327893659042715,4.978707509907691e-53,-0.1757900947159398,-0.1359306440442112,competence
overall,summary,-0.08420213822012662,0.02211982950936006,-3.8066359500870597,1.4086987051727739e-4,-0.12755620740263862,-0.040848069037614614,advice
overall,summary,-0.07913635609579946,0.01242318570959603,-6.370053378069704,1.8896242430731062e-10,-0.10348535265986034,-0.05478735953173857,select
overall,summary,-0.07242878165217775,0.012501486451162815,-5.793613578282994,6.888785993888356e-9,-0.09693124484967232,-0.04792631845468319,rewards
